Argentina: tango, rock%20en%20español, folklore%20argentino
Kiribati: kiribati%20folk, maneaba%20songs, pacific%20pop
Marshall Islands: marshallese%20folk, island%20music, reggae
Micronesia: micronesian%20folk, island%20pop, traditional%20chant
Nauru: nauruan%20folk, island%20music, choral%20songs
New Zealand: maori%20folk, new%20zealand%20rock, kiwi%20pop
Palau: palauan%20folk, island%20ballads, reggae
Papua New Guinea: png%20folk, stringband%20music, highlands%20chants
Samoa: samoan%20folk, island%20reggae, samoan%20pop
Solomon Islands: solomon%20islands%20folk, island%20reggae, kastom%20music
Tonga: tongan%20folk, himi%20music, island%20pop
Tuvalu: tuvaluan%20folk, fatele, island%20music
Vanuatu: vanuatu%20folk, stringband%20music, island%20reggae
